year,production,msp,irrigated area,rain fall,fertilizer usage,source_pdf
2010,4736.6,1000.0,1.3,1308.0,159.5,dataset.pdf
2011,4516.3,1080.0,1.3,1376.0,164.0,dataset.pdf
2012,5128.5,1080.0,1.25,1060.0,193.7,dataset.pdf
2013,4927.1,1080.0,1.25,1173.0,130.3,dataset.pdf
2014,5222.7,1080.0,1.3,1306.0,153.7,dataset.pdf
2015,4927.1,1200.0,1.22,1102.0,176.2,dataset.pdf
2016,4367.0,1410.0,1.17,1109.0,175.0,dataset.pdf
2017,3500.0,1470.0,1.17,1188.0,166.7,dataset.pdf
2018,3634.0,1550.0,1.08,1221.0,164.5,dataset.pdf
2019,3431.0,1750.0,1.03,1162.0,183.2,dataset.pdf
2020,3634.5,1815.0,1.07,1209.0,172.7,dataset.pdf
2021,4053.0,1900.0,1.17,1220.0,160.7,dataset.pdf
2022,3634.0,1950.0,1.17,1350.0,158.5,dataset.pdf
2023,4690.0,2040.0,1.17,1050.0,155.3,dataset.pdf
2024,4210.0,2300.0,1.17,1153.0,158.5,dataset.pdf
